user_id,user_name,login_id,password,mobile_num,office_num,email,modified_at,dept_id,approval_role_id,position_id,created_at,is_active,permission
1,관리자,admin,1234,010-1234-5678,02-1234-5678,email@gmail.com,2023-11-27,0,\N,0,2023-11-27,1,admin
2,관리자,admin1,1234,010-4321-8765,02-4321-8765,email2@gmail.com,2023-11-27,0,\N,0,2023-11-27,1,manager
3,차동혁,chae00001,1234,,,,2024-01-17,10000043,\N,13,2024-01-17,0,user
4,오대경,daekyung,0000,010-1541-1541,02-1541-8765,daekyung23@gmail.com,2023-12-03,1,\N,12,2023-12-03,1,user
5,퇴사자,unKnown,0001,010-1541-9876,02-1541-5454,unKnown@gmail.com,2023-12-03,1,\N,15,2023-12-03,1,user
6,임시유저1,user0001,0000,010-0001-0001,031-0001-0001,user1@gmail.com,2024-01-17,1,\N,12,2024-01-17,1,user
7,임시유저2,user0002,1234,010-0002-0002,031-0002-0002,user2@email.com,2024-01-17,10000042,\N,15,2024-01-17,1,user
8,임시유저3,user0003,0000,010-0003-0003,031-0003-0003,user3@email.com,2024-01-17,10000043,\N,12,2024-01-17,1,user
9,임시유저4,user0004,0000,,,,2024-01-17,10000043,\N,11,2024-01-17,0,user
10,임시유저5,user0005,1234,,,,2024-01-17,10000041,\N,8,2024-01-17,0,user
11,임시유저11,user0011,1234,,,,2024-01-17,10000046,\N,14,2024-01-17,0,user
