user_id,user_name,login_id,password,mobile_num,office_num,email,modified_at,dept_id,approval_role_id,position_id,created_at,is_active,permission
1,관리자,admin,1234,010-1234-5678,02-1234-5678,email@gmail.com,Sat Nov 25 2023 03:00:00 GMT+0900 (대한민국 표준시),1,,1,Sat Nov 25 2023 03:00:00 GMT+0900 (대한민국 표준시),1,admin
2,관리자,admin1,1234,010-4321-8765,02-4321-8765,email2@gmail.com,Sat Nov 25 2023 03:00:00 GMT+0900 (대한민국 표준시),1,,1,Sat Nov 25 2023 03:00:00 GMT+0900 (대한민국 표준시),1,manager
3,차동혁,chae00001,1234,,,,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),7,,14,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),0,user
4,오대경,daekyung,0,010-1541-1541,02-1541-8765,daekyung23@gmail.com,Fri Dec 01 2023 03:00:00 GMT+0900 (대한민국 표준시),2,,13,Fri Dec 01 2023 03:00:00 GMT+0900 (대한민국 표준시),1,user
5,퇴사자,unKnown,1,010-1541-9876,02-1541-5454,unKnown@gmail.com,Fri Dec 01 2023 03:00:00 GMT+0900 (대한민국 표준시),2,,16,Fri Dec 01 2023 03:00:00 GMT+0900 (대한민국 표준시),1,user
6,임시유저1,user0001,0,010-0001-0001,031-0001-0001,user1@gmail.com,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),2,,13,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),1,user
7,임시유저2,user0002,1234,010-0002-0002,031-0002-0002,user2@email.com,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),6,,16,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),1,user
8,임시유저3,user0003,0,010-0003-0003,031-0003-0003,user3@email.com,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),7,,13,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),1,user
9,임시유저4,user0004,0,,,,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),7,,12,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),0,user
10,임시유저5,user0005,1234,,,,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),5,,9,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),0,user
11,임시유저11,user0011,1234,,,,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),10,,15,Mon Jan 15 2024 03:00:00 GMT+0900 (대한민국 표준시),0,user
